Year,Location,Title,Author,Link
2004,Ottawa,"PPI for Legal Activity, Auditing and Tax Consulting Services in Germany (paper)","Lorenz, Susanne",https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-027.pdf
2004,Ottawa,OECD- Eurostat 2004 Inquiry on National Collection of Services Producer Prices - Preliminary report (ppp),"Varjonen, Seppo",https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-135.pdf
2004,Ottawa,Revision of the activities classification: Comments on the ISIC Rev 4. Draft (paper),"Demotes-Mainard, Magali",https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-035.pdf
2004,Ottawa,The diversification of service companies in France (paper),"Demotes-Mainard, Magali",https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-037.pdf
2004,Ottawa,The U.S. Producer Price Index for Refrigerated Warehousing and Storage (NAICS 493120) (paper),"Lucier, John L.",https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-055.pdf
2004,Ottawa,"Cargo Handling, Storage and Warehousing in the New Zealand Producers Price Indexes (paper)","Parbhu, Charissa",https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-056.pdf
2004,Ottawa,Waste Management and Remediation Services: 2002 (paper),U.S. Census Bureau,https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-076.pdf
2004,Ottawa,"Product Classification for Accounting, Bookkeeping and Auditing Services; Tax Consultancy Services and Business and Management consultancy Services - Relevance Test Based on Data Collected in the EU and USA (ppp)",Statistics Sweden,https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-134.pdf
2004,Ottawa,A French survey on management of intangible assets (paper),"Lenseigne, Fabrice",https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-081.pdf
2004,Ottawa,A French survey on management of intangible assets - Annex 1 (survey),INSEE (France),https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-147.pdf
2004,Ottawa,A French survey on management of intangible assets - Annex 2 (survey),INSEE (France),https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-148.pdf
2004,Ottawa,Producer price indices for: Legal Activities Services; Auditing Services & Tax Consultancy Services (ppp),"Stroh, Astrid",https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-121.pdf
2004,Ottawa,Producer price indices for: Legal Activities Services; Auditing Services & Tax Consultancy Services (ppp),"Lorenz, Susanne",https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-121.pdf
2004,Ottawa,The Dutch PPI for Operational Motor Vehicle Lease (paper),"Kenessey, Aurél",https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-057.pdf
2004,Ottawa,Producer Price Index for Car Rental in Sweden (paper),"Cerda, Merja",https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-058.pdf
2004,Ottawa,The French PPI for Motor Vehicle Rental (paper),"Buisson, Benoît",https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-059.pdf
2004,Ottawa,The Development of a PPI for Renting of Automobiles (paper),"Auer, Josef",https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-060.pdf
2004,Ottawa,The Development of a PPI for Renting of Automobiles (paper),"Puchter, Christian",https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-060.pdf
2004,Ottawa,Car Rental Services in Austria (ppp),"Auer, Josef",https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-116.pdf
2004,Ottawa,PPI for Motor Vehicle Rental - The French experiment (ppp),INSEE (France),https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-097.pdf
2004,Ottawa,The Dutch PPI for Operational Car Lease (ppp),"Kenessey, Aurél",https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-102.pdf
2004,Ottawa,PPI for Car and Truck Rental - Comments (ppp),Statistics Canada,https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-126.pdf
2004,Ottawa,Producer Price Index For Services: Report on Investication and Security Services (paper),Jari Järvinen & Jari Harjunpää,https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-032.pdf
2004,Ottawa,Report on Investication and Security Services (ppp),Statistics Finland,https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-131.pdf
2004,Ottawa,Producers Price Index for Air Passenger and Air Freight Transport Services (paper),"Collins, Sonia",https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-023.pdf
2004,Ottawa,Producers Price Index for Air Passenger and Freight Transport Services (ppp),"Collins, Sonia",https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-113.pdf
2004,Ottawa,The U.S. Producer Price Index for Scheduled Air Passenger Transportation (NAICS 493120) (paper),"Page, William J.",https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-024.pdf
2004,Ottawa,Producer Price Index for Air Transport in Sweden. Appendix:: Sweden (paper),"Tareke, Mical",https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-025.pdf
2004,Ottawa,Producer Price Index for Air Transport in Sweden (ppp),Statistics Sweden,https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-114.pdf
2004,Ottawa,Air Transport Services in Austria (ppp),"Auer, Josef",https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-115.pdf
2004,Ottawa,"Cargo Handling, Storage and Warehousing - New Zealand Producers Price Index (ppp)",Statistics New Zealand,https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-125.pdf
2004,Ottawa,Airlines Appendix (ppp),U. S. Bureau of Labor Statistics,https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-089.pdf
2004,Ottawa,Refrigerated Warehousing and Storage - NAICS 493120 (ppp),"Lucier, John L.",https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-091.pdf
2004,Ottawa,Additional CPC Product Detail Travel Arrangement and Reservation Services (paper),"Murphy, John B.",https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-073.pdf
2004,Ottawa,CPC Travel Arrangement and Reservation Services - Possible New Detail for the 2007 Revision of the CPC (ppp),"Murphy, John B.",https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-133.pdf
2004,Ottawa,On the measurement and classification of the services of Travel agencies and Tour Operators (paper),"Nijhowne, Shaila",https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-074.pdf
2004,Ottawa,"Services of Travel Agencies and Tour Operators - TSA-RMF ""net valuation"" approach - Implications and data needs (ppp)","Nijhowne, Shaila",https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-139.pdf
2004,Ottawa,Quality Adjustment Method in Prepackaged Software in Japan's 2000 Base Corporate Service Price Index (paper),"Kouju, Ayako",https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-045.pdf
2004,Ottawa,Quality Adjustment Method in Prepackaged Software in Japan's 2000 Base Corporate Service Price Index (paper),"Utsunomiya, Kiyohito",https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-045.pdf
2004,Ottawa,Quality Adjustment Method in Prepackaged Software in Japan's 2000 Base Corporate Service Price Index (paper),"Hirakata, Naohisa",https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-045.pdf
2004,Ottawa,Producer Price Index for Computer Services in Sweden (paper),"Cerda, Merja",https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-046.pdf
2004,Ottawa,The French PPI for Computer Services (paper),"Buisson, Benoît",https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-047.pdf
2004,Ottawa,PPI for Computer Services - The French experiment (ppp),INSEE (France),https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-098.pdf
2004,Ottawa,Feasibility of Adopting Function Point Analysis for Quarterly Software Development Producer Price Indexes (paper),"Berger, Matthew",https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-048.pdf
2004,Ottawa,Recent Progress on the Development of a UK Price Index for Computer Services (paper),"Osmond, Tim",https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-049.pdf
2004,Ottawa,Recent Progress on the Development of a UK Price Index for Computer Services (paper),"Davies, Pam",https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-049.pdf
2004,Ottawa,Recent Progress on the Development of a UK Price Index for Computer Services (paper),"Allen, Joanne",https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-049.pdf
2004,Ottawa,The Development of a price index for COMPUTER SERVICES in the United Kingdom (ppp),"Clode, Tim",https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-108.pdf
2004,Ottawa,2004 Progress Report from Mexico (paper),"Campos-Campuzano, Josué M.",https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-001.pdf
2004,Ottawa,"Progress Report of Hong Kong, China (paper)","Hong Kong, China",https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-004.pdf
2004,Ottawa,Progress Report - Center Bureau of Statistics Israel (paper),Central Bureau of Statistics (Israel),https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-005.pdf
2004,Ottawa,Progress Report: Korea (paper),Bank of Korea,https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-006.pdf
2004,Ottawa,Progress report of Statistics Netherlands (paper),Statistics Netherlands,https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-007.pdf
2004,Ottawa,Progress report of Sweden (paper),"Norrman, Hintze, Hertzman",https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-008.pdf
2004,Ottawa,"Progress Report - Census Bureau / Bureau of Labor Statistics, United States (paper)",Census Bureau / Bureau of Labor Statistics,https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-009.pdf
2004,Ottawa,The current situation of services statistics in Vietnam (paper),"Lien, Nguyen Thi",https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-010.pdf
2004,Ottawa,Eurostat Progress Report to the Voorburg Group - 2004 (paper),Eurostat,https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-011.pdf
2004,Ottawa,Progress report 2004 Germany (paper),"Stroh, Astrid",https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-012.pdf
2004,Ottawa,Progress report 2004 Germany (paper),"Kaumanns, Sven C.",https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-012.pdf
2004,Ottawa,Progress Report from Japan (paper),Statistics Bureau - Japan,https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-013.pdf
2004,Ottawa,Progress report 2004 prepared by Statistics Denmark (paper),Statistics Denmark,https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-014.pdf
2004,Ottawa,Progress Report - Spain (paper),Instituto Nacional de Estadística,https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-015.pdf
2004,Ottawa,Progress report for Statistics New Zealand on PPI for services (paper),Statistics New Zealand,https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-016.pdf
2004,Ottawa,Progress Report to the 19th meeting of the Voorburg Group in Ottawa (paper),Statistics Austria,https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-017.pdf
2004,Ottawa,Progress report of Statistics Finland (paper),Statistics Finland,https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-018.pdf
2004,Ottawa,OECD Progress Report on Services Statistics (paper),OECD,https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-019.pdf
2004,Ottawa,2004 Progress report for France (paper),INSEE (France),https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-020.pdf
2004,Ottawa,Progress Report of Norway (paper),"Kalko, Pilskog, Wethal",https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-021.pdf
2004,Ottawa,Progress Report to the 19th Voorberg Group - From Statistics Canada (paper),Statistics Canada,https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-022.pdf
2004,Ottawa,Statistical Gaps: The Challenges Facing the Service Programmes at Statistics Canada (ppp),"Lys, Peter",https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-128.pdf
2004,Ottawa,Towards a strategy for improving European services sector statistics (ppp),"Nielsen, Peter Boeegh",https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-105.pdf
2004,Ottawa,Services Statistics Coordination and Strategy. Final Draft Report by OECD Statistics Directorate to UN Statistics Commission 2005. (Incorporating a report from the Voorburg Group),OECD,https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-086.pdf
2004,Ottawa,Strategic Vision of the Voorburg Group on Services Statistics for 2005-2008 (paper),"Ducharme, Louis Marc",https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-087.pdf
2004,Ottawa,Improved Measurement of the Services Sector by the U.S. Census Bureau - An Update for 2004 (ppp),"Wallace, Mark E.",https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-103.pdf
2004,Ottawa,Progress Reports and Expectations (ppp),"Wallace, Mark E.",https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-104.pdf
2004,Ottawa,Towards a strategy for service sector statistics in the UK (ppp),UK Office for National Statistics,https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-142.pdf
2004,Ottawa,Review of UK Statistics for Economic Policymaking (ppp),UK Office for National Statistics,https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-143.pdf
2004,Ottawa,Improved Measurement of the Services Sector by the U.S. Census Bureau - An Update for 2004 (paper),"Wallace, Mark E.",https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-146.pdf
2004,Ottawa,2004 Progress Report from Mexico - Abstract (paper),INEGI (Mexico),https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-002.pdf
2004,Ottawa,Progress Report of P. R. of China (paper),National Bureau of Statistics of China,https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-003.pdf
2004,Ottawa,Telecommunication Industries. Aligning ISIC Rev. 4 on NAICS 2002. Is that a good idea? (ppp),Statistics Canada,https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-036.pdf
2004,Ottawa,The Telecommunications Industry: New Challenges for Classification (paper),"Johanis, Paul",https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-039.pdf
2004,Ottawa,The Telecommunications Industry: New Challenges for Classification (paper),"Malfara, Tony",https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-039.pdf
2004,Ottawa,Telecommunications Services in Japan's 2000 Base Corporate Service Price Index (paper),"Moriya, Kuniko",https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-040.pdf
2004,Ottawa,Telecommunications Services in Japan's 2000 Base Corporate Service Price Index (paper),"Utsunomiya, Kiyohito",https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-040.pdf
