Year,Location,Format,Title,ISIC Section,2 digit ISIC Division,Author,Type,Theme,Topic,Link
2022,Ottawa,Paper,ISIC 85 Education - (Turnover/output statistics),P - Education,85 - Education,"Bravo, Ramon",Sector Paper,Output,General,https://www.voorburggroup.org/Documents/2022%20Ottawa/Papers/1008.pdf
2022,Ottawa,Presentation,ISIC 85 Education - (Turnover/output statistics),P - Education,85 - Education,"Bravo, Ramon",Sector Paper,Output,General,https://www.voorburggroup.org/Documents/2022%20Ottawa/Papers/1009.pdf
2022,Ottawa,Paper,Turnover and Output for Education (ISIC 85) in Sweden,P - Education,85 - Education,"von Hofsten, Barbro",Sector Paper,Output,General,https://www.voorburggroup.org/Documents/2022%20Ottawa/Papers/1010.pdf
2022,Ottawa,Presentation,Turnover and Output for Education (ISIC 85) in Sweden,P - Education,85 - Education,"von Hofsten, Barbro",Sector Paper,Output,General,https://www.voorburggroup.org/Documents/2022%20Ottawa/Papers/1020.pdf
2022,Ottawa,Paper,Dealing with economic shocks: How Statistics Canada pivoted during the pandemic,NA,NA,"Bernard, Marie-Christine",Cross Cutting,Other,General,https://www.voorburggroup.org/Documents/2022%20Ottawa/Papers/1011.pdf
2022,Ottawa,Presentation,Dealing with economic shocks: How Statistics Canada pivoted during the pandemic,NA,NA,"Bernard, Marie-Christine",Cross Cutting,Other,General,https://www.voorburggroup.org/Documents/2022%20Ottawa/Papers/1021.pdf
2022,Ottawa,Paper,Dealing with economic shocks – Corona pandemic in Sweden,NA,NA,"Nilsson, Mariah",Cross Cutting,Other,General,https://www.voorburggroup.org/Documents/2022%20Ottawa/Papers/1012.pdf
2022,Ottawa,Presentation,Dealing with economic shocks – Corona pandemic in Sweden,NA,NA,"Nilsson, Mariah",Cross Cutting,Other,General,https://www.voorburggroup.org/Documents/2022%20Ottawa/Papers/1022.pdf
2022,Ottawa,Paper,A proxy approach to quality adjustment of a service industry,NA,NA,"Bucknall, Rob",Cross Cutting,Prices,Quality Adjustment,https://www.voorburggroup.org/Documents/2022%20Ottawa/Papers/1013.pdf
2022,Ottawa,Presentation,A proxy approach to quality adjustment of a service industry,NA,NA,"Bucknall, Rob",Cross Cutting,Prices,Quality Adjustment,https://www.voorburggroup.org/Documents/2022%20Ottawa/Papers/1024.pdf
2022,Ottawa,Paper,A proxy approach to quality adjustment of a service industry,NA,NA,"Chant, Katherine",Cross Cutting,Prices,Quality Adjustment,https://www.voorburggroup.org/Documents/2022%20Ottawa/Papers/1013.pdf
2022,Ottawa,Paper,A proxy approach to quality adjustment of a service industry,NA,NA,"Chan, Leon",Cross Cutting,Prices,Quality Adjustment,https://www.voorburggroup.org/Documents/2022%20Ottawa/Papers/1013.pdf
2022,Ottawa,Paper,A contrast between indices produced with Booking.com data and direct survey data. Swiss case study for the regions Bern and Lucerne SPPI.,NA,NA,"Hernandez Santacoloma, Angela",Cross Cutting,Prices,General,https://www.voorburggroup.org/Documents/2022%20Ottawa/Papers/1014.pdf
2022,Ottawa,Presentation,A contrast between indices produced with Booking.com data and direct survey data. Swiss case study for the regions Bern and Lucerne SPPI.,NA,NA,"Hernandez Santacoloma, Angela",Cross Cutting,Prices,General,https://www.voorburggroup.org/Documents/2022%20Ottawa/Papers/1034.pdf
2022,Ottawa,Paper,A new BLS satellite series of net inputs to industry price indexes: methodology and uses,NA,NA,"Weinhagen, Jonathan",Methodology,Prices,General,https://www.voorburggroup.org/Documents/2022%20Ottawa/Papers/1015.pdf
2022,Ottawa,Presentation,Inputs to Industry Price Indexes,NA,NA,"Weinhagen, Jonathan",Methodology,Prices,General,https://www.voorburggroup.org/Documents/2022%20Ottawa/Papers/1029.pdf
2022,Ottawa,Paper,E-Commerce Measurement Challenges in the U.S. Service Sector (E-Commerce Statistics Pre- and Post- COVID-19 Pandemic),NA,NA,"Conard, Suzanne",Cross cutting,Output and Price,E-Commerce,https://www.voorburggroup.org/Documents/2022%20Ottawa/Papers/1016.pdf
2022,Ottawa,Presentation,E-Commerce Measurement in the U.S. Service Sectors,NA,NA,"Conard, Suzanne",Cross cutting,Output and Price,E-Commerce,https://www.voorburggroup.org/Documents/2022%20Ottawa/Papers/1030.pdf
2022,Ottawa,Paper,E-Commerce Measurement Challenges in the U.S. Service Sector (E-Commerce Statistics Pre- and Post- COVID-19 Pandemic),NA,NA,"St. Onge, Tristan",Cross cutting,Output and Price,E-Commerce,https://www.voorburggroup.org/Documents/2022%20Ottawa/Papers/1016.pdf
2022,Ottawa,Presentation,E-Commerce Measurement in the U.S. Service Sectors,NA,NA,"St. Onge, Tristan",Cross cutting,Output and Price,E-Commerce,https://www.voorburggroup.org/Documents/2022%20Ottawa/Papers/1030.pdf
2022,Ottawa,Paper,E-Commerce Measurement Challenges in the U.S. Service Sector (E-Commerce Statistics Pre- and Post- COVID-19 Pandemic),NA,NA,"Watkins, Edward",Cross cutting,Output and Price,E-Commerce,https://www.voorburggroup.org/Documents/2022%20Ottawa/Papers/1016.pdf
2022,Ottawa,Presentation,E-Commerce Measurement in the U.S. Service Sectors,NA,NA,"Watkins, Edward",Cross cutting,Output and Price,E-Commerce,https://www.voorburggroup.org/Documents/2022%20Ottawa/Papers/1030.pdf
2022,Ottawa,Paper,India’s Experience through the Pandemic & Steps taken to mitigate measurement challenges,NA,NA,"Singh, Ram",Cross cutting,Prices,General,https://www.voorburggroup.org/Documents/2022%20Ottawa/Papers/1017.pdf
2022,Ottawa,Presentation,India’s Experience through the Pandemic & Steps taken to mitigate measurement challenges,NA,NA,"Singh, Ram",Cross cutting,Prices,General,https://www.voorburggroup.org/Documents/2022%20Ottawa/Papers/1042.pdf
2022,Ottawa,Paper,"Revisited Sector Paper – ISIC 77.30 Renting and leasing of other machinery, equipment and tangible goods",N - Administrative and support service activites,77 - Rental and leasing activities,"Santiago, Melanie",Sector Paper,Output and Price,General,https://www.voorburggroup.org/Documents/2022%20Ottawa/Papers/1018.pdf
2022,Ottawa,Paper,Presentation of participation in Ottawa meeting: Alignment of Methodology and Scope between Services Producer Price Indices (SPPIs) and Consumer Price Indices (CPIs): Developing a framework for using CPIs in SPPI calculation,NA,NA,"Draper, Rohan",Methodology,Prices,General,https://www.voorburggroup.org/Documents/2022%20Ottawa/Papers/1019.pdf
2022,Ottawa,Presentation,Presentation of participation in Ottawa meeting: Alignment of Methodology and Scope between Services Producer Price Indices (SPPIs) and Consumer Price Indices (CPIs): Developing a framework for using CPIs in SPPI calculation,NA,NA,"Draper, Rohan",Methodology,Prices,General,https://www.voorburggroup.org/Documents/2022%20Ottawa/Papers/1043.pdf
2022,Ottawa,Paper,Presentation of participation in Ottawa meeting: Alignment of Methodology and Scope between Services Producer Price Indices (SPPIs) and Consumer Price Indices (CPIs): Developing a framework for using CPIs in SPPI calculation,NA,NA,"Elversøe, Nicklas",Methodology,Prices,General,https://www.voorburggroup.org/Documents/2022%20Ottawa/Papers/1019.pdf
2022,Ottawa,Presentation,Presentation of participation in Ottawa meeting: Alignment of Methodology and Scope between Services Producer Price Indices (SPPIs) and Consumer Price Indices (CPIs): Developing a framework for using CPIs in SPPI calculation,NA,NA,"Elversøe, Nicklas",Methodology,Prices,General,https://www.voorburggroup.org/Documents/2022%20Ottawa/Papers/1043.pdf
2022,Ottawa,Paper,Presentation of participation in Ottawa meeting: Alignment of Methodology and Scope between Services Producer Price Indices (SPPIs) and Consumer Price Indices (CPIs): Developing a framework for using CPIs in SPPI calculation,NA,NA,"Bertin, Antonia",Methodology,Prices,General,https://www.voorburggroup.org/Documents/2022%20Ottawa/Papers/1019.pdf
2022,Ottawa,Presentation,Presentation of participation in Ottawa meeting: Alignment of Methodology and Scope between Services Producer Price Indices (SPPIs) and Consumer Price Indices (CPIs): Developing a framework for using CPIs in SPPI calculation,NA,NA,"Bertin, Antonia",Methodology,Prices,General,https://www.voorburggroup.org/Documents/2022%20Ottawa/Papers/1043.pdf
2022,Ottawa,Paper,Presentation of participation in Ottawa meeting: Alignment of Methodology and Scope between Services Producer Price Indices (SPPIs) and Consumer Price Indices (CPIs): Developing a framework for using CPIs in SPPI calculation,NA,NA,"Maillefert, Swann-Emilien",Methodology,Prices,General,https://www.voorburggroup.org/Documents/2022%20Ottawa/Papers/1019.pdf
2022,Ottawa,Presentation,Presentation of participation in Ottawa meeting: Alignment of Methodology and Scope between Services Producer Price Indices (SPPIs) and Consumer Price Indices (CPIs): Developing a framework for using CPIs in SPPI calculation,NA,NA,"Maillefert, Swann-Emilien",Methodology,Prices,General,https://www.voorburggroup.org/Documents/2022%20Ottawa/Papers/1043.pdf
2022,Ottawa,Paper,Presentation of participation in Ottawa meeting: Alignment of Methodology and Scope between Services Producer Price Indices (SPPIs) and Consumer Price Indices (CPIs): Developing a framework for using CPIs in SPPI calculation,NA,NA,"Fournier, Jean-Marie",Methodology,Prices,General,https://www.voorburggroup.org/Documents/2022%20Ottawa/Papers/1019.pdf
2022,Ottawa,Presentation,Presentation of participation in Ottawa meeting: Alignment of Methodology and Scope between Services Producer Price Indices (SPPIs) and Consumer Price Indices (CPIs): Developing a framework for using CPIs in SPPI calculation,NA,NA,"Fournier, Jean-Marie",Methodology,Prices,General,https://www.voorburggroup.org/Documents/2022%20Ottawa/Papers/1043.pdf
2022,Ottawa,Paper,Presentation of participation in Ottawa meeting: Alignment of Methodology and Scope between Services Producer Price Indices (SPPIs) and Consumer Price Indices (CPIs): Developing a framework for using CPIs in SPPI calculation,NA,NA,"Blang, Dorothee",Methodology,Prices,General,https://www.voorburggroup.org/Documents/2022%20Ottawa/Papers/1019.pdf
2022,Ottawa,Presentation,Presentation of participation in Ottawa meeting: Alignment of Methodology and Scope between Services Producer Price Indices (SPPIs) and Consumer Price Indices (CPIs): Developing a framework for using CPIs in SPPI calculation,NA,NA,"Blang, Dorothee",Methodology,Prices,General,https://www.voorburggroup.org/Documents/2022%20Ottawa/Papers/1043.pdf
2022,Ottawa,Paper,Presentation of participation in Ottawa meeting: Alignment of Methodology and Scope between Services Producer Price Indices (SPPIs) and Consumer Price Indices (CPIs): Developing a framework for using CPIs in SPPI calculation,NA,NA,"Vizner, Ruth",Methodology,Prices,General,https://www.voorburggroup.org/Documents/2022%20Ottawa/Papers/1019.pdf
2022,Ottawa,Presentation,Presentation of participation in Ottawa meeting: Alignment of Methodology and Scope between Services Producer Price Indices (SPPIs) and Consumer Price Indices (CPIs): Developing a framework for using CPIs in SPPI calculation,NA,NA,"Vizner, Ruth",Methodology,Prices,General,https://www.voorburggroup.org/Documents/2022%20Ottawa/Papers/1043.pdf
2022,Ottawa,Presentation,38th Voorburg Meeting in Isreal,NA,NA,"Vizner, Ruth",Welcome invitation,Other,General,https://www.voorburggroup.org/Documents/2022%20Ottawa/Papers/1051.pdf
2022,Ottawa,Presentation,Introduction: E-commerce Session,NA,NA,"Vizner, Ruth",Cross cutting,Output and Price,E-Commerce,https://www.voorburggroup.org/Documents/2022%20Ottawa/Papers/1046.pdf
2022,Ottawa,Presentation,Classification topic - Wholesale Trade,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,45 - Wholesale and retail trade and repair of motor vehicles and motorcycles,"Vizner, Ruth",Classification,Output and Price,General,https://www.voorburggroup.org/Documents/2022%20Ottawa/Papers/1047.pdf
2022,Ottawa,Paper,Presentation of participation in Ottawa meeting: Alignment of Methodology and Scope between Services Producer Price Indices (SPPIs) and Consumer Price Indices (CPIs): Developing a framework for using CPIs in SPPI calculation,NA,NA,"Aizcorbe, Ana Maria",Methodology,Prices,General,https://www.voorburggroup.org/Documents/2022%20Ottawa/Papers/1019.pdf
2022,Ottawa,Presentation,Presentation of participation in Ottawa meeting: Alignment of Methodology and Scope between Services Producer Price Indices (SPPIs) and Consumer Price Indices (CPIs): Developing a framework for using CPIs in SPPI calculation,NA,NA,"Aizcorbe, Ana Maria",Methodology,Prices,General,https://www.voorburggroup.org/Documents/2022%20Ottawa/Papers/1043.pdf
2022,Ottawa,Paper,Presentation of participation in Ottawa meeting: Alignment of Methodology and Scope between Services Producer Price Indices (SPPIs) and Consumer Price Indices (CPIs): Developing a framework for using CPIs in SPPI calculation,NA,NA,"Santiago, Melanie",Methodology,Prices,General,https://www.voorburggroup.org/Documents/2022%20Ottawa/Papers/1019.pdf
2022,Ottawa,Presentation,Presentation of participation in Ottawa meeting: Alignment of Methodology and Scope between Services Producer Price Indices (SPPIs) and Consumer Price Indices (CPIs): Developing a framework for using CPIs in SPPI calculation,NA,NA,"Santiago, Melanie",Methodology,Prices,General,https://www.voorburggroup.org/Documents/2022%20Ottawa/Papers/1043.pdf
2022,Ottawa,Presentation,Results from TF on Outreach,NA,NA,"Blix, Karin",Task Force,Other,General,https://www.voorburggroup.org/Documents/2022%20Ottawa/Papers/1023.pdf
2022,Ottawa,Presentation,Results from TF on Outreach,NA,NA,"Korhonen, Riikka",Task Force,Other,General,https://www.voorburggroup.org/Documents/2022%20Ottawa/Papers/1023.pdf
2022,Ottawa,Presentation,Alternative data in SPPI on air passenger transport (51.10),H - Transportation And Storage,51 – Air Transport,"Studer, Nicolas",Cross Cutting,Prices,General,https://www.voorburggroup.org/Documents/2022%20Ottawa/Papers/1026.pdf
2022,Ottawa,Presentation,"Revisited Sector Paper – ISIC 77.30 Renting and leasing of other machinery, equipment and tangible goods",N - Administrative and support service activites,77 - Rental and leasing activities,"Santiago, Melanie",Sector Paper,Output and Price,General,https://www.voorburggroup.org/Documents/2022%20Ottawa/Papers/1027.pdf
2022,Ottawa,Presentation,Introduction: Education,P - Education,85 - Education,"Puchter, Christian",Sector Paper,Output and Price,General,https://www.voorburggroup.org/Documents/2022%20Ottawa/Papers/1028.pdf
2022,Ottawa,Poster,Transforming production systems,NA,NA,"Brogan, Taylor",Cross-cutting,Other,General,https://www.voorburggroup.org/Documents/2022%20Ottawa/Papers/1031.pdf
2022,Ottawa,Poster,Transforming production systems,NA,NA,"Carey, Andrew",Cross-cutting,Other,General,https://www.voorburggroup.org/Documents/2022%20Ottawa/Papers/1031.pdf
2022,Ottawa,Presentation,Modernising Production Systems,NA,NA,"Carey, Andrew",Cross-cutting,Other,General,https://www.voorburggroup.org/Documents/2022%20Ottawa/Papers/1045.pdf
2022,Ottawa,Presentation,Introduction: Dealing with economic shocks,NA,NA,"Stock, Christian",Cross-cutting,Other,General,https://www.voorburggroup.org/Documents/2022%20Ottawa/Papers/1032.pdf
2022,Ottawa,Presentation,Japan’s FD-ID price indexes: Incorporating import prices,NA,NA,"Inoue, Moegi",Cross-cutting,Prices,General,https://www.voorburggroup.org/Documents/2022%20Ottawa/Papers/1033.pdf
2022,Ottawa,Paper,E-commerce Session: Enterprise surveys and the measurement of digital trade in services in Canada,NA,NA,"Wyman, Diana",Cross-cutting,Prices,General,https://www.voorburggroup.org/Documents/2022%20Ottawa/Papers/1035.pdf
2022,Ottawa,Presentation,E-commerce Session: Enterprise surveys and the measurement of digital trade in services in Canada,NA,NA,"Wyman, Diana",Cross-cutting,Output and Price,E-Commerce,https://www.voorburggroup.org/Documents/2022%20Ottawa/Papers/1036.pdf
2022,Ottawa,Paper,E-commerce Session: Enterprise surveys and the measurement of digital trade in services in Canada,NA,NA,"Aston, Jason",Cross-cutting,Prices,General,https://www.voorburggroup.org/Documents/2022%20Ottawa/Papers/1035.pdf
2022,Ottawa,Presentation,E-commerce Session: Enterprise surveys and the measurement of digital trade in services in Canada,NA,NA,"Aston, Jason",Cross-cutting,Output and Price,E-Commerce,https://www.voorburggroup.org/Documents/2022%20Ottawa/Papers/1036.pdf
2022,Ottawa,Paper,E-commerce Session: Enterprise surveys and the measurement of digital trade in services in Canada,NA,NA,"Rodrigues, Erika",Cross-cutting,Prices,General,https://www.voorburggroup.org/Documents/2022%20Ottawa/Papers/1035.pdf
2022,Ottawa,Presentation,E-commerce Session: Enterprise surveys and the measurement of digital trade in services in Canada,NA,NA,"Rodrigues, Erika",Cross-cutting,Output and Price,E-Commerce,https://www.voorburggroup.org/Documents/2022%20Ottawa/Papers/1036.pdf
2022,Ottawa,Paper,E-commerce Session: Enterprise surveys and the measurement of digital trade in services in Canada,NA,NA,"Uhrbach, Mark",Cross-cutting,Prices,General,https://www.voorburggroup.org/Documents/2022%20Ottawa/Papers/1035.pdf
2022,Ottawa,Presentation,E-commerce Session: Enterprise surveys and the measurement of digital trade in services in Canada,NA,NA,"Uhrbach, Mark",Cross-cutting,Output and Price,E-Commerce,https://www.voorburggroup.org/Documents/2022%20Ottawa/Papers/1036.pdf
2022,Ottawa,Poster,Statistics Canada: Modernisation of Retail Services Price Index,NA,NA,"Ifrim, Dragos",Cross-cutting,Other,General,https://www.voorburggroup.org/Documents/2022%20Ottawa/Papers/1037.pdf
2022,Ottawa,Poster,Statistics Canada: Modernisation of Retail Services Price Index,NA,NA,"Ha, Xin",Cross-cutting,Other,General,https://www.voorburggroup.org/Documents/2022%20Ottawa/Papers/1037.pdf
2022,Ottawa,Presentation,Accommodations Research – Unit Values and Transaction Prices,I - Accommodation and food service activities,55 - Accommodation,"Baer, Andrew",Sector Paper,Prices,General,https://www.voorburggroup.org/Documents/2022%20Ottawa/Papers/1038.pdf
2022,Ottawa,Presentation,Presentation of results from the Voorburg Group Alternative Data Survey,NA,NA,"Ifrim, Dragos",Methodology,Other,General,https://www.voorburggroup.org/Documents/2022%20Ottawa/Papers/1039.pdf
2022,Ottawa,Misc,Voorburg Group Alternative Data Survey 2022,NA,NA,"Ifrim, Dragos",Methodology,Other,General,https://www.voorburggroup.org/Documents/2022%20Ottawa/Papers/1041.xlsx
2022,Ottawa,Presentation,Presentation of results from the Voorburg Group Alternative Data Survey,NA,NA,"Draper, Rohan",Methodology,Other,General,https://www.voorburggroup.org/Documents/2022%20Ottawa/Papers/1039.pdf
2022,Ottawa,Misc,Voorburg Group Alternative Data Survey 2022,NA,NA,"Draper, Rohan",Methodology,Other,General,https://www.voorburggroup.org/Documents/2022%20Ottawa/Papers/1041.xlsx
2022,Ottawa,Presentation,Planning for Next Meeting Voorburg Group Meeting 2023,NA,NA,"Murphy, Bonnie",Other,Other,General,https://www.voorburggroup.org/Documents/2022%20Ottawa/Papers/1040.pdf
2022,Ottawa,Presentation,Planning for Next Meeting Voorburg Group Meeting 2023,NA,NA,"Fridén, Marcus",Other,Other,General,https://www.voorburggroup.org/Documents/2022%20Ottawa/Papers/1040.pdf
2022,Ottawa,Presentation,"Introduction: Data gaps and measurement issues with the online intermediary platforms (Air BnB, Uber, etc.)",NA,NA,"Virtanen, Ulla",Cross cutting,Output and Price,E-Commerce,https://www.voorburggroup.org/Documents/2022%20Ottawa/Papers/1044.pdf
2022,Ottawa,Presentation,"Brief overview of the Global Network of Data Officers and Statisticians, and explanation of how you can create and maintain successfully a group on the Global Network",NA,NA,"Loschky, Alexander",Other,Other,General,https://www.voorburggroup.org/Documents/2022%20Ottawa/Papers/1048.pdf
2022,Ottawa,Presentation,"Brief overview of the Global Network of Data Officers and Statisticians, and explanation of how you can create and maintain successfully a group on the Global Network",NA,NA,"Zhang, Yuxi",Other,Other,General,https://www.voorburggroup.org/Documents/2022%20Ottawa/Papers/1048.pdf
2022,Ottawa,Presentation,Discussant Remarks on ISIC 85 - Education,P - Education,85 - Education,"Barrera, Erika",Sector Paper,Output and Price,General,https://www.voorburggroup.org/Documents/2022%20Ottawa/Papers/1049.pdf
2021,Washington DC,Paper,Revisited Sector Paper on: ISIC 52.1 Warehousing and storage,H - Transportation and storage,52 - Warehousing and support activities for transportation,"Puchter, Christian",Sector Paper,Prices,General,https://www.voorburggroup.org/Documents/2021%20Washington/Papers/1001.pdf
2021,Washington DC,Presentation,Revisited Sector Paper on: ISIC 52.1 Warehousing and storage,H - Transportation and storage,52 - Warehousing and support activities for transportation,"Puchter, Christian",Sector Paper,Prices,General,https://www.voorburggroup.org/Documents/2021%20Washington/Papers/1002.pdf
2021,Washington DC,Paper,"Sector Paper: Renting and
Leasing of Motor Vehicles,
ISIC 77.1",N - Administrative and support service activites,77 - Rental and leasing activities,"D’Silva-Parker, Emelia",Sector Paper,Prices,General,https://www.voorburggroup.org/Documents/2021%20Washington/Papers/1003.pdf
2021,Washington DC,Presentation,"Sector Paper: Renting and
Leasing of Motor Vehicles,
ISIC 77.1",N - Administrative and support service activites,77 - Rental and leasing activities,"D’Silva-Parker, Emelia",Sector Paper,Prices,General,https://www.voorburggroup.org/Documents/2021%20Washington/Papers/1004.pdf
2021,Washington DC,Presentation,Deflator Gateway: building a central system for deflator processing,NA,NA,"Taylor, Craig",Methodology,Prices,General,https://www.voorburggroup.org/Documents/2021%20Washington/Papers/1005.pdf
2021,Washington DC,Presentation,Deflator Gateway: building a central system for deflator processing,NA,NA,"Korhonen, Riikka",Methodology,Prices,General,https://www.voorburggroup.org/Documents/2021%20Washington/Papers/1005.pdf
2021,Washington DC,Presentation,An overview of national accounts in Costa Rica,NA,NA,"Pierce Porras, Allison",Methodology,Prices,General,https://www.voorburggroup.org/Documents/2021%20Washington/Papers/1006.pdf
2021,Washington DC,Presentation,Lessons learned in dealing with shocks Cross cutting topic,NA,NA,"Stock, Christian",Cross-cutting,Prices,General,https://www.voorburggroup.org/Documents/2021%20Washington/Papers/1007.pdf
2021,Washington DC,Presentation,The impact of COVID-19 pandemic on SPPIs in Israel,NA,NA,"Vizner, Ruth",Cross-cutting,Prices,General,https://www.voorburggroup.org/Documents/2021%20Washington/Papers/1008.pdf
2021,Washington DC,Paper,Lessons Learned from the COVID-19 Pandemic,NA,NA,"Weinhagen, Jonathan",Cross-cutting,Prices,General,https://www.voorburggroup.org/Documents/2021%20Washington/Papers/1009.pdf
2021,Washington DC,Presentation,Lessons Learned from the COVID-19 Pandemic,NA,NA,"Weinhagen, Jonathan",Cross-cutting,Prices,General,https://www.voorburggroup.org/Documents/2021%20Washington/Papers/1010.pdf
2021,Washington DC,Presentation,Lessons learned in dealing with shocks – discussant remarks,NA,NA,"Draper, Rohan",Cross-cutting,Prices,General,https://www.voorburggroup.org/Documents/2021%20Washington/Papers/1011.pdf
2021,Washington DC,Presentation,Lessons learned in dealing with shocks – discussant remarks,NA,NA,"Fridén, Marcus",Cross-cutting,Prices,General,https://www.voorburggroup.org/Documents/2021%20Washington/Papers/1011.pdf
2021,Washington DC,Presentation,Voorburg Group 5-year strategic plan –proposals for consideration,NA,NA,"Murphy, Bonnie",Other,Other,General,https://www.voorburggroup.org/Documents/2021%20Washington/Papers/1012.pdf
2021,Washington DC,Presentation,Voorburg Group 5-year strategic plan –proposals for consideration,NA,NA,"Fridén, Marcus",Other,Other,General,https://www.voorburggroup.org/Documents/2021%20Washington/Papers/1012.pdf
2021,Washington DC,Presentation,Voorburg Group 5-year strategic plan –proposals for consideration,NA,NA,"Taylor, Craig",Other,Other,General,https://www.voorburggroup.org/Documents/2021%20Washington/Papers/1012.pdf
2021,Washington DC,Paper,"Mini-presentation on Turnover and Output for Renting and leasing of other machinery, equipment and tangible goods (ISIC 7730) in Sweden",N - Administrative and support service activites,77 - Rental and leasing activities,"Nilsson, Mariah",Mini-presentation,Prices,General,https://www.voorburggroup.org/Documents/2021%20Washington/Papers/2001.pdf
